,Year,Facility Name,Substance Name (English),Units,Stack Emissions,Direct Discharge
75,2012,Point Lepreau Generating Station,Carbon-14,Bq,37000000000.0,14000000000.0
76,2012,Point Lepreau Generating Station,Estimated public dose (see footnote),mSv/a,0.0006,0.0
77,2012,Point Lepreau Generating Station,Iodine-131,Bq,0.0,0.0
78,2012,Point Lepreau Generating Station,Particulate (gross beta/gamma),Bq,0.0,72000000.0
79,2012,Point Lepreau Generating Station,Particulate gross alpha,Bq,0.0,6500000.0
80,2012,Point Lepreau Generating Station,Total noble gases,Bq-MeV,800000000000.0,0.0
81,2012,Point Lepreau Generating Station,Tritium (HTO),Bq,140000000000000.0,780000000000000.0
82,2013,Bruce Power - A,Carbon-14,Bq,2530000000000.0,995000000.0
83,2013,Bruce Power - A,Iodine-131,Bq,49400000.0,0.0
84,2013,Bruce Power - A,Particulate (gross beta/gamma),Bq,4840000.0,908000000.0
85,2013,Bruce Power - A,Particulate gross alpha,Bq,667000.0,2120000.0
86,2013,Bruce Power - A,Total noble gases,Bq-MeV,66600000000000.0,0.0
87,2013,Bruce Power - A,Tritium (HTO),Bq,509000000000000.0,196000000000000.0
88,2013,Bruce Power - B,Carbon-14,Bq,1100000000000.0,4900000000.0
89,2013,Bruce Power - B,Iodine-131,Bq,40400000.0,0.0
90,2013,Bruce Power - B,Particulate (gross beta/gamma),Bq,18600000.0,3950000000.0
91,2013,Bruce Power - B,Particulate gross alpha,Bq,2510000.0,8910000.0
92,2013,Bruce Power - B,Total noble gases,Bq-MeV,3710000000000.0,0.0
93,2013,Bruce Power - B,Tritium (HTO),Bq,263000000000000.0,419000000000000.0
94,2013,Bruce Power Site,Estimated public dose (see footnote),mSv/a,0.0013,0.0
95,2013,Darlington Nuclear,Carbon-14,Bq,1000000000000.0,3200000000.0
96,2013,Darlington Nuclear,Elemental Tritium (HT),Bq,18000000000000.0,0.0
97,2013,Darlington Nuclear,Estimated public dose (see footnote),mSv/a,0.0006,0.0
98,2013,Darlington Nuclear,Iodine-131,Bq,140000000.0,0.0
99,2013,Darlington Nuclear,Particulate (gross beta/gamma),Bq,29000000.0,28000000000.0
100,2013,Darlington Nuclear,Particulate gross alpha,Bq,6200000.0,850000.0
101,2013,Darlington Nuclear,Total noble gases,Bq-MeV,32000000000000.0,0.0
102,2013,Darlington Nuclear,Tritium (HTO),Bq,210000000000000.0,110000000000000.0
103,2013,Gentilly-2,Carbon-14,Bq,749000000000.0,11500000000.0
104,2013,Gentilly-2,Estimated public dose (see footnote),mSv/a,0.005,0.0
105,2013,Gentilly-2,Iodine-131,Bq,0.0,0.0
106,2013,Gentilly-2,Particulate (gross beta/gamma),Bq,864000.0,1840000000.0
107,2013,Gentilly-2,Total noble gases,Bq-MeV,696000000.0,0.0
108,2013,Gentilly-2,Tritium (HTO),Bq,114000000000000.0,215000000000000.0
109,2013,Pickering Nuclear - A & B,Carbon-14,Bq,1690000000000.0,1700000000.0
110,2013,Pickering Nuclear - A & B,Estimated public dose (see footnote),mSv/a,0.0011,0.0
111,2013,Pickering Nuclear - A & B,Iodine-131,Bq,12800000.0,0.0
112,2013,Pickering Nuclear - A & B,Particulate (gross beta/gamma),Bq,8700000.0,32700000000.0
113,2013,Pickering Nuclear - A & B,Particulate gross alpha,Bq,1020000.0,13000000.0
114,2013,Pickering Nuclear - A & B,Total noble gases,Bq-MeV,116500000000000.0,0.0
115,2013,Pickering Nuclear - A & B,Tritium (HTO),Bq,360000000000000.0,370000000000000.0
116,2013,Point Lepreau Generating Station,Carbon-14,Bq,80000000000.0,4300000000.0
117,2013,Point Lepreau Generating Station,Estimated public dose (see footnote),mSv/a,0.0004,0.0
