,Year,Facility Name,Substance Name (English),Units,Stack Emissions,Direct Discharge
84,2017,BWXT - Peterborough,Estimated public dose (see footnote),mSv/a,0.0,0.0
85,2017,BWXT - Peterborough,Uranium,kg,2e-06,0.0
86,2017,BWXT - Toronto,Estimated public dose (see footnote),mSv/a,0.0175,0.0
87,2017,BWXT - Toronto,Uranium,kg,0.0074,0.0
88,2017,Blind River Refinery,Estimated public dose (see footnote),mSv/a,0.005,0.0
89,2017,Blind River Refinery,Radium-226,MBq,0.0,1.04
90,2017,Blind River Refinery,Uranium,kg,0.8,1.9
91,2017,Cameco Fuel Manufacturing,Estimated public dose (see footnote),mSv/a,0.022,0.0
92,2017,Cameco Fuel Manufacturing,Uranium,kg,0.57,0.0
93,2017,Nordion - Ottawa,Cobalt-60,GBq,0.0034,0.0
94,2017,Nordion - Ottawa,Estimated public dose (see footnote),mSv/a,5.2e-05,0.0
95,2017,Nordion - Ottawa,Iodine-125,GBq,0.0012,0.0
96,2017,Nordion - Ottawa,Iodine-131,GBq,0.0008,0.0
97,2017,Nordion - Ottawa,Xenon-133,GBq,0.0,0.0
98,2017,Nordion - Ottawa,Xenon-135,GBq,0.0,0.0
99,2017,Nordion - Ottawa,Xenon-135m,GBq,0.0,0.0
100,2017,Port Hope Conversion Facility,Estimated public dose (see footnote),mSv/a,0.263,0.0
101,2017,Port Hope Conversion Facility,Uranium,kg,31.5,0.0
102,2017,SRBT,Elemental Tritium (HT),GBq,17600.0,0.0
103,2017,SRBT,Estimated public dose (see footnote),mSv/a,0.0033,0.0
104,2017,SRBT,Tritium (HTO),GBq,7200.0,0.0
105,2018,BWXT - Peterborough,Estimated public dose (see footnote),mSv/a,0.0,0.0
106,2018,BWXT - Peterborough,Uranium,kg,2e-06,0.0
107,2018,BWXT - Toronto,Estimated public dose (see footnote),mSv/a,0.0004,0.0
108,2018,BWXT - Toronto,Uranium,kg,0.0063,0.0
109,2018,Blind River Refinery,Estimated public dose (see footnote),mSv/a,0.005,0.0
