,Year,Facility Name,Substance Name (English),Units,Direct Discharge
121,2017,McClean Lake,Thorium-230,MBq,18.8
122,2017,McClean Lake,Radium-226,MBq,11.7
123,2017,McClean Lake,Lead-210,MBq,88.5
124,2017,McClean Lake,Polonium-210,MBq,30.8
125,2016,Rabbit Lake,Uranium,kg,326.9
126,2016,Rabbit Lake,Thorium-230,MBq,89.9
127,2016,Rabbit Lake,Radium-226,MBq,32.9
128,2016,Rabbit Lake,Lead-210,MBq,359.6
129,2016,Rabbit Lake,Polonium-210,MBq,89.9
130,2016,Key Lake,Uranium,kg,20.1
131,2016,Key Lake,Thorium-230,MBq,77.0
132,2016,Key Lake,Radium-226,MBq,64.7
133,2016,Key Lake,Lead-210,MBq,53.9
134,2016,Key Lake,Polonium-210,MBq,15.4
135,2016,McArthur River,Uranium,kg,12.8
136,2016,McArthur River,Thorium-230,MBq,26.7
137,2016,McArthur River,Radium-226,MBq,162.4
138,2016,McArthur River,Lead-210,MBq,51.6
139,2016,McArthur River,Polonium-210,MBq,100.5
140,2016,Cigar Lake,Uranium,kg,2.4
141,2016,Cigar Lake,Thorium-230,MBq,3.8
142,2016,Cigar Lake,Radium-226,MBq,2.7
143,2016,Cigar Lake,Lead-210,MBq,8.7
144,2016,Cigar Lake,Polonium-210,MBq,6.4
145,2016,McClean Lake,Uranium,kg,6.5
146,2016,McClean Lake,Thorium-230,MBq,20.2
147,2016,McClean Lake,Radium-226,MBq,12.0
148,2016,McClean Lake,Lead-210,MBq,122.1
149,2016,McClean Lake,Polonium-210,MBq,61.3
150,2015,Rabbit Lake,Uranium,kg,220.7
151,2015,Rabbit Lake,Thorium-230,MBq,84.9
152,2015,Rabbit Lake,Radium-226,MBq,30.0
153,2015,Rabbit Lake,Lead-210,MBq,339.5
154,2015,Rabbit Lake,Polonium-210,MBq,106.1
155,2015,Key Lake,Uranium,kg,20.6
156,2015,Key Lake,Thorium-230,MBq,65.8
157,2015,Key Lake,Radium-226,MBq,81.4
158,2015,Key Lake,Lead-210,MBq,75.2
159,2015,Key Lake,Polonium-210,MBq,16.4
160,2015,McArthur River,Uranium,kg,21.3
161,2015,McArthur River,Thorium-230,MBq,23.6
162,2015,McArthur River,Radium-226,MBq,167.2
163,2015,McArthur River,Lead-210,MBq,55.9
164,2015,McArthur River,Polonium-210,MBq,184.4
165,2015,Cigar Lake,Uranium,kg,38.0
166,2015,Cigar Lake,Thorium-230,MBq,3.7
167,2015,Cigar Lake,Radium-226,MBq,3.1
168,2015,Cigar Lake,Lead-210,MBq,8.0
169,2015,Cigar Lake,Polonium-210,MBq,10.7
170,2015,McClean Lake,Uranium,kg,5.5
171,2015,McClean Lake,Thorium-230,MBq,16.4
172,2015,McClean Lake,Radium-226,MBq,10.8
173,2015,McClean Lake,Lead-210,MBq,54.5
174,2015,McClean Lake,Polonium-210,MBq,26.3
175,2014,Rabbit Lake,Uranium,kg,199.7
176,2014,Rabbit Lake,Thorium-230,MBq,96.7
177,2014,Rabbit Lake,Radium-226,MBq,41.0
178,2014,Rabbit Lake,Lead-210,MBq,96.7
179,2014,Rabbit Lake,Polonium-210,MBq,96.7
180,2014,Key Lake,Uranium,kg,15.4
181,2014,Key Lake,Thorium-230,MBq,48.2
182,2014,Key Lake,Radium-226,MBq,73.0
183,2014,Key Lake,Lead-210,MBq,90.7
184,2014,Key Lake,Polonium-210,MBq,82.2
185,2014,McArthur River,Uranium,kg,23.1
186,2014,McArthur River,Thorium-230,MBq,22.7
187,2014,McArthur River,Radium-226,MBq,121.9
188,2014,McArthur River,Lead-210,MBq,51.0
189,2014,McArthur River,Polonium-210,MBq,92.7
190,2014,Cigar Lake,Uranium,kg,6.6
191,2014,Cigar Lake,Thorium-230,MBq,2.0
192,2014,Cigar Lake,Radium-226,MBq,2.7
193,2014,Cigar Lake,Lead-210,MBq,8.5
194,2014,Cigar Lake,Polonium-210,MBq,7.6
195,2014,McClean Lake,Uranium,kg,2.3
196,2014,McClean Lake,Thorium-230,MBq,12.1
197,2014,McClean Lake,Radium-226,MBq,7.2
198,2014,McClean Lake,Lead-210,MBq,48.6
199,2014,McClean Lake,Polonium-210,MBq,13.3
200,2013,Rabbit Lake,Uranium,kg,266.8
201,2013,Rabbit Lake,Thorium-230,MBq,85.0
202,2013,Rabbit Lake,Radium-226,MBq,32.7
203,2013,Rabbit Lake,Lead-210,MBq,0.0
204,2013,Rabbit Lake,Polonium-210,MBq,138.2
205,2013,Key Lake,Uranium,kg,24.2
206,2013,Key Lake,Thorium-230,MBq,88.3
207,2013,Key Lake,Radium-226,MBq,86.6
208,2013,Key Lake,Lead-210,MBq,97.5
209,2013,Key Lake,Polonium-210,MBq,31.5
210,2013,McArthur River,Uranium,kg,24.8
211,2013,McArthur River,Thorium-230,MBq,22.7
212,2013,McArthur River,Radium-226,MBq,155.8
213,2013,McArthur River,Lead-210,MBq,45.5
214,2013,McArthur River,Polonium-210,MBq,106.8
215,2013,Cigar Lake,Uranium,kg,0.2
216,2013,Cigar Lake,Thorium-230,MBq,1.8
217,2013,Cigar Lake,Radium-226,MBq,2.9
218,2013,Cigar Lake,Lead-210,MBq,14.1
219,2013,Cigar Lake,Polonium-210,MBq,3.6
220,2013,McClean Lake,Uranium,kg,1.8
221,2013,McClean Lake,Thorium-230,MBq,19.6
222,2013,McClean Lake,Radium-226,MBq,6.0
223,2013,McClean Lake,Lead-210,MBq,74.4
224,2013,McClean Lake,Polonium-210,MBq,17.7
