Year | Année,NPRI ID | ID INRP,Company Name | Raison Sociale,Facility Name | Nom de l'installation,City | Ville,CSD | SDR,CA or CMA | AR ou RMR,Economic Region | Région économique,Province | Province,Latitude | Latitude,Longitude | Longitude,Substance Name (English) | Nom de substance (Anglais),Substance Name (French) | Nom de substance (Français),Units | Unités,Stack Emissions | Émissions de cheminées,Direct Discharge | Évacuations directes,Footnotes | Notes de bas de page
2020,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Port Granby Project,Clarington,,,,ON,43.9106,-78.4511,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.02,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2020,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Port Hope Project,Port Hope,,,,ON,43.9608,-78.3407,Radium-226,Radium-226,Bq,NRM | NRS,7.78E+05,
2020,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Port Hope Project,Port Hope,,,,ON,43.9608,-78.3407,Uranium,Uranium,kg,NRM | NRS,0.2,
2020,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Port Hope Project,Port Hope,,,,ON,43.9608,-78.3407,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.033,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2020,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Douglas Point,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3267,-81.6000,Tritium (HTO),Tritium (Eau tritiée),Bq,4.10E+11,1.74E+10,
2020,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Douglas Point,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3267,-81.6000,Particulate gross alpha,Particules alpha brutes,Bq,8.44E+03,8.34E+06,
2020,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Douglas Point,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3267,-81.6000,Particulate gross beta,Particules bêta brutes,Bq,1.38E+05,3.31E+07,
2020,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Douglas Point,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3267,-81.6000,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.0018,NRM | NRS,Includes the entire Bruce site. Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | Comprend tout le site de Bruce. La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2020,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Nuclear Power Demonstration,Rolphton,,,,ON,46.1868,-77.6578,Tritium (HTO),Tritium (Eau tritiée),Bq,3.65E+11,6.67E+09,
2020,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Nuclear Power Demonstration,Rolphton,,,,ON,46.1868,-77.6578,Particulate gross beta,Particules bêta brutes,Bq,4.43E+04,2.05E+08,
2020,,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Nuclear Power Demonstration,Rolphton,,,,ON,46.1868,-77.6578,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,<0.01,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2019,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Elemental Tritium (HT),Tritium élémentaire,Bq,5.51E+12,NRM | NRS,
2019,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Tritium (HTO),Tritium (Eau tritiée),Bq,2.01E+14,1.37E+13,
2019,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Carbon-14,Carbone-14,Bq,3.44E+10,NRM | NRS,
2019,3147,Canadian Nuclear Laboratories / Laboratoires Nucléaires Canadiens,Chalk River Laboratories,Chalk River,Deep River,Renfrew,Kingston--Pembroke,ON,46.0554,-77.3628,Total noble gases,Total des gaz nobles,Bq-MeV,0.00E+00,NRM | NRS,
